410412347	20140218	201402	2014	2014.1315											GOV	PRESIDENT						GOV			0	043	043	04	1	2.8	5	1	5	-4.4776119402985	0								4	Waterkloof, Free State, South Africa	SF	SF03	77359	-30.3098	25.2971	-1299321	4	Waterkloof, Free State, South Africa	SF	SF03	77359	-30.3098	25.2971	-1299321	20150218230000	http://www.dailymaverick.co.za/article/2015-02-19-sona2015-jamming-state-security-agency-steps-forward-blames-low-ranking-operator/
410412348	20140218	201402	2014	2014.1315											IND	MUMBAI	IND								1	042	042	04	1	1.9	5	1	5	2.07852193995381	0								4	Mumbai, Maharashtra, India	IN	IN16	70184	18.975	72.8258	-2092174	4	Bengaluru, Karnataka, India	IN	IN19	70159	12.9833	77.5833	-2090174	20150218230000	http://timesofindia.indiatimes.com/city/bengaluru/Feline-beauties-to-strut-their-stuff/articleshow/46292006.cms
410412349	20140218	201402	2014	2014.1315											NZL	KIWI	NZL								1	042	042	04	1	1.9	1	1	1	7.51708428246014	0								1	New Zealand	NZ	NZ		-41	174	NZ	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412350	20140218	201402	2014	2014.1315											NZL	KIWI	NZL								1	042	042	04	1	1.9	2	1	2	7.51708428246014	0								1	New Zealand	NZ	NZ		-41	174	NZ	1	New Zealand	NZ	NZ		-41	174	NZ	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412351	20140218	201402	2014	2014.1315											USA	LOS ANGELES	USA								1	042	042	04	1	1.9	10	1	10	0	0								2	Idaho, United States	US	USID		44.2394	-114.51	ID	2	Idaho, United States	US	USID		44.2394	-114.51	ID	20150218230000	http://www.eastidahonews.com/2015/02/neil-patrick-harris-on-why-hes-haunted-by-ellen-degeneres-oscars-selfie/
410412352	20140218	201402	2014	2014.1315	AUS	AUSTRALIA	AUS								BUS	INVESTOR						BUS			1	013	013	01	1	0.4	2	1	2	-1.26382306477093	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20150218230000	http://www.businessspectator.com.au/article/2015/2/19/dataroom/dataroom-am-tailgating-toll
410412353	20140218	201402	2014	2014.1315	AUS	AUSTRALIAN	AUS								NZL	NEW ZEALAND	NZL								1	042	042	04	1	1.9	1	1	1	7.51708428246014	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	1	New Zealand	NZ	NZ		-41	174	NZ	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412354	20140218	201402	2014	2014.1315	AUS	AUSTRALIA	AUS								NZL	KIWI	NZL								1	042	042	04	1	1.9	1	1	1	7.51708428246014	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	1	New Zealand	NZ	NZ		-41	174	NZ	1	New Zealand	NZ	NZ		-41	174	NZ	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412355	20140218	201402	2014	2014.1315	AUS	AUSTRALIA	AUS								NZL	KIWI	NZL								1	042	042	04	1	1.9	1	1	1	7.51708428246014	1	New Zealand	NZ	NZ		-41	174	NZ	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	4	Great Southern, Victoria, Australia	AS	AS07	5387	-36.0667	146.483	-1576477	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412356	20140218	201402	2014	2014.1315	AUS	AUSTRALIAN	AUS								NZL	NEW ZEALAND	NZL								1	042	042	04	1	1.9	1	1	1	7.51708428246014	1	New Zealand	NZ	NZ		-41	174	NZ	1	New Zealand	NZ	NZ		-41	174	NZ	1	New Zealand	NZ	NZ		-41	174	NZ	20150218230000	http://www.voxy.co.nz/entertainment/coast-new-zealand-production-tv-one/5/214255
410412357	20140218	201402	2014	2014.1315	AUSBUS	AUSTRALIA	AUS					BUS			BUS	INVESTOR						BUS			1	010	010	01	1	0.0	2	1	2	-1.26382306477093	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	4	Brisbane, Queensland, Australia	AS	AS04	154654	-27.5	153.017	-1561728	20150218230000	http://www.businessspectator.com.au/article/2015/2/19/dataroom/dataroom-am-tailgating-toll
410412358	20140218	201402	2014	2014.1315	BUS	COMPANY						BUS													1	010	010	01	1	0.0	10	1	10	5.26315789473684	0								0								0								20150218230000	http://www.nasdaq.com/article/trinity-industries-q4-results-top-estimates-20150218-01074
410412359	20140218	201402	2014	2014.1315	BUS	COMPANY						BUS													1	071	071	07	2	7.4	6	1	6	2.0746887966805	3	Boston, Massachusetts, United States	US	USMA	MA025	42.3584	-71.0598	617565	0								2	New York, United States	US	USNY		42.1497	-74.9384	NY	20150218230000	http://www.betaboston.com/tag/museums/
410412360	20140218	201402	2014	2014.1315	CHN	CHINESE	CHN								BUS	COMPANIES						BUS			0	080	080	08	2	5.0	3	1	3	-5.48302872062663	4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	1	Japan	JA	JA		36	138	JA	4	Shenzhen, Guangdong, China	CH	CH30	13036	22.2	111.117	-1925267	20150218230000	http://www.dailytimes.com.pk/business/19-Feb-2015/kaisa-debt-surge-raises-red-flag-on-chinese-developers-leverage
410412361	20140218	201402	2014	2014.1315	COP	POLICE						COP			TUR	TURKEY	TUR								0	190	190	19	4	-10.0	16	1	16	-5.07246376811594	4	Gezi, Kayseri, Turkey	TU	TU38	28006	38.7918	35.6592	-749675	4	Gezi, Kayseri, Turkey	TU	TU38	28006	38.7918	35.6592	-749675	4	Gezi, Kayseri, Turkey	TU	TU38	28006	38.7918	35.6592	-749675	20150218230000	http://www.hurriyetdailynews.com/giving-the-police-a-blank-check.aspx?pageID=238&nid=78524&NewsCatID=416
410412362	20140218	201402	2014	2014.1315	CVL	RESIDENTS						CVL													0	010	010	01	1	0.0	10	1	10	-0.29154518950437	4	Dwarka, Gujarat, India	IN	IN09	17641	22.2394	68.9678	-2095389	0								4	Dwarka, Gujarat, India	IN	IN09	17641	22.2394	68.9678	-2095389	20150218230000	http://timesofindia.indiatimes.com/City/Delhi/DDA-corporation-told-to-explain-Dwarka-sanitation-hold-up/articleshow/46293870.cms
410412363	20140218	201402	2014	2014.1315	CVL	RESIDENTS						CVL													0	120	120	12	3	-4.0	10	1	10	-0.29154518950437	4	Dwarka, Gujarat, India	IN	IN09	17641	22.2394	68.9678	-2095389	0								4	Dwarka, Gujarat, India	IN	IN09	17641	22.2394	68.9678	-2095389	20150218230000	http://timesofindia.indiatimes.com/City/Delhi/DDA-corporation-told-to-explain-Dwarka-sanitation-hold-up/articleshow/46293870.cms
